symbol,type,entry,exit,pnl,reason,bars
XRP-USD,B,1.3497085571289062,1.3437803435325621,-0.6149,stop,26
XRP-USD,B,1.3167393207550049,1.3105343562364578,-0.6597,stop,6
XRP-USD,A,1.3378064632415771,1.3311315933465957,-0.6985,stop,2
XRP-USD,B,1.3504939079284668,1.356772541999817,0.6509,timeout,48
XRP-USD,B,1.3502557277679443,1.3435044491291046,-0.7,stop,7
XRP-USD,B,1.3342646360397339,1.3276069533824921,-0.6986,stop,4
XRP-USD,B,1.3135004043579102,1.3277543783187866,1.5193,target,20
XRP-USD,B,1.3386814594268799,1.3414056301116943,0.2849,timeout,48
XRP-USD,B,1.3348008394241333,1.3481488478183747,1.4,target,48
XRP-USD,B,1.3544666767120361,1.3526592254638672,-0.1868,timeout,48
XRP-USD,B,1.350826382637024,1.3595457077026367,0.9037,timeout,48
XRP-USD,B,1.3479686975479126,1.3412288540601731,-0.7,stop,17
XRP-USD,B,1.33344566822052,1.331990780234337,-0.1528,stop,0
XRP-USD,B,1.3132628202438354,1.3066965061426163,-0.7,stop,30
AVAX-USD,B,9.26379108428955,9.359003658294677,1.4389,target,18
AVAX-USD,B,9.13706111907959,9.091550412178039,-0.6973,stop,1
AVAX-USD,C,9.161327362060547,9.118410143852234,-0.6558,stop,9
AVAX-USD,B,9.091607093811035,9.046616868972778,-0.6928,stop,11
AVAX-USD,B,9.294700622558594,9.2482271194458,-0.7,stop,1
AVAX-USD,B,9.20705795288086,9.16161762714386,-0.691,stop,9
AVAX-USD,B,9.13863468170166,9.097991585731506,-0.6226,stop,10
AVAX-USD,B,9.348023414611816,9.308866004943848,-0.5864,stop,12
AVAX-USD,B,9.573243141174316,9.525376925468445,-0.7,stop,0
AVAX-USD,C,9.612031936645508,9.564875135421753,-0.6868,stop,0
AVAX-USD,B,9.393550872802734,9.346583118438721,-0.7,stop,26
AVAX-USD,C,8.966076850891113,9.055746288299561,1.4001,target,40
AVAX-USD,B,9.025877952575684,9.005388259887695,-0.3178,timeout,48
AVAX-USD,B,8.988555908203125,8.996627807617188,0.1257,timeout,48
AVAX-USD,B,8.965095520019531,8.920270042419434,-0.7,stop,16
AVAX-USD,B,8.900847434997559,8.86136670589447,-0.621,stop,48
AVAX-USD,B,8.853470802307129,8.857196807861328,0.0589,timeout,48
AVAX-USD,B,8.92193603515625,8.885080814361572,-0.5783,stop,12
AVAX-USD,B,8.879971504211426,8.837756028175354,-0.6656,stop,9
AVAX-USD,B,8.865091323852539,8.951478958129883,1.3643,target,12
AVAX-USD,B,9.27437973022461,9.240845580101013,-0.5062,stop,3
AVAX-USD,B,9.23901653289795,9.3141082127889,1.1379,target,14
AVAX-USD,B,9.35435676574707,9.307584981918335,-0.7,stop,12
AVAX-USD,B,9.337567329406738,9.453813552856445,1.7429,target,6
AVAX-USD,B,9.491024017333984,9.443568897247314,-0.7,stop,1
AVAX-USD,C,9.798782348632812,9.797599062919616,-0.0169,stop,0
AVAX-USD,B,9.772513389587402,9.735508351325988,-0.5301,stop,0
AVAX-USD,A,9.703554153442383,9.667432889938354,-0.5211,stop,10
AVAX-USD,B,9.671764373779297,9.629732856750488,-0.6084,stop,10
